"race","year","area","exiting_total2","attempts_to_contact_unsuccessful","complete_prior_to_reaching_max_age_for_part_c","moved_out_of_state","not_eligible_for_part_b_exit_with_no_referrals","not_eligible_for_part_b_exit_with_referrals_to_other_programs","part_b_eligibility_not_determined","part_b_eligible_exiting_part_c","withdrawal_by_parent","complete_or_not_eligible"
"AM","21_22","Oregon",34,3,2,0,1,0,0,20,7,3
"AM","20_21","Oregon",24,5,2,0,2,0,0,10,5,4
"AM","19_20","Oregon",45,9,3,2,0,1,0,28,2,4
"AM","18_19","Oregon",34,2,4,4,2,0,0,18,4,6
"AM","17_18","Oregon",31,1,1,2,3,0,0,20,4,4
"AM","16_17","Oregon",16,2,2,1,2,0,0,3,6,4
"AM","15_16","Oregon",24,0,3,1,0,0,0,13,7,3
"AM","14_15","Oregon",29,5,4,3,3,0,0,12,2,7
"AM","13_14","Oregon",30,5,5,2,2,0,0,13,3,7
"AM","21_22","US and Outlying Areas",2467,330,180,118,96,109,333,855,377,385
"AM","20_22","US and Outlying Areas",2537,413,195,87,111,113,313,896,369,419
"AM","19_20","US and Outlying Areas",2824,356,183,113,133,130,389,1107,371,446
"AM","18_19","US and Outlying Areas",2871,392,200,127,128,174,285,1098,425,502
"AM","17_18","US and Outlying Areas",2756,370,232,128,107,158,279,1085,356,497
"AM","16-17","US and Outlying Areas",2670,378,259,118,127,153,233,1021,344,539
"AM","15_16","US and Outlying Areas",2603,347,245,128,125,180,216,1007,312,550
"AM","14_15","US and Outlying Areas",2633,364,275,111,105,173,214,1021,328,553
"AM","14_14","US and Outlying Areas",2422,312,244,115,92,168,218,945,273,504
"AS","21_22","Oregon",146,8,3,20,9,0,0,75,31,12
"AS","20_21","Oregon",94,6,0,14,5,1,3,30,35,6
"AS","19_20","Oregon",140,8,3,17,6,2,2,76,26,11
"AS","18_19","Oregon",143,5,1,21,4,1,2,77,32,6
"AS","17_18","Oregon",135,10,2,18,8,0,0,69,27,10
"AS","16_17","Oregon",103,1,2,14,10,0,0,54,22,12
"AS","15_16","Oregon",106,6,7,15,4,0,1,52,20,11
"AS","14_15","Oregon",103,8,6,8,6,0,0,63,12,12
"AS","13_14","Oregon",85,4,2,9,5,2,0,49,14,9
"AS","21_22","US and Outlying Areas",18187,827,1217,918,604,676,3635,6058,3094,2497
"AS","20_21","US and Outlying Areas",16139,1049,974,747,563,615,3046,5438,2766,2152
"AS","19_20","US and Outlying Areas",18873,792,1504,895,684,824,3425,6878,3063,3012
"AS","18_19","US and Outlying Areas",18227,651,1505,1081,564,975,2789,7037,2933,3044
"AS","17_18","US and Outlying Areas",16696,638,1501,1018,543,917,2585,6134,2631,2961
"AS","16_17","US and Outlying Areas",15307,660,1509,963,468,791,2008,5774,2202,2768
"AS","15-16","US and Outlying Areas",12847,520,2084,821,361,738,1449,4291,1748,3183
"AS","14_15","US and Outlying Areas",15868,856,2973,847,301,799,2166,5611,1578,4073
"AS","13_14","US and Outlying Areas",14108,566,1410,741,313,1299,1745,5619,1722,3022
"BL","21_22","Oregon",101,9,2,12,2,1,1,52,22,5
"BL","20_21","Oregon",98,11,0,10,2,3,0,55,17,5
"BL","19_20","Oregon",101,10,0,6,1,0,1,59,23,1
"BL","18_19","Oregon",84,12,1,7,2,3,0,49,9,6
"BL","17_18","Oregon",64,4,1,3,1,0,0,47,8,2
"BL","16_17","Oregon",80,7,3,5,4,0,0,48,13,7
"BL","15_16","Oregon",62,5,2,4,3,0,0,31,17,5
"BL","14_15","Oregon",54,6,2,4,1,0,0,33,8,3
"BL","13_14","Oregon",87,8,13,5,3,0,0,51,6,16
"BL","21_22","US and Outlying Areas",51926,7370,2765,1787,1486,1679,10064,17099,6450,5930
"BL","20_21","US and Outlying Areas",48123,7704,2773,1466,1570,1597,10445,13710,6063,5940
"BL","19_20","US and Outlying Areas",51415,6525,3685,1537,1652,2057,10120,17383,6047,7394
"BL","18_19","US and Outlying Areas",48492,5937,3799,1748,1537,2120,8021,17180,6009,7456
"BL","17_18","US and Outlying Areas",45150,5683,3721,1723,1519,2144,7439,15446,5320,7384
"BL","16_17","US and Outlying Areas",42490,5526,3832,1583,1354,2012,6150,14722,4880,7198
"BL","15-16","US and Outlying Areas",42012,5545,4378,1651,1189,2157,5997,14281,4573,7724
"BL","14_15","US and Outlying Areas",43615,6029,5076,1616,1272,2139,5792,15124,4319,8487
