"race","area","exit_total","part_b_eligibility_not_determined","names","values","percentage"
"AM","Oregon",267,0,"withdrawal_by_parent",40,0.1498
"AM","Oregon",267,0,"attempts_to_contact_unsuccessful",32,0.1199
"AM","Oregon",267,0,"moved_out_of_state",15,0.0562
"AM","Oregon",267,0,"part_b_eligible_exiting_part_c",137,0.5131
"AM","Oregon",267,0,"complete_or_not_eligible",42,0.1573
"AS","Oregon",1055,8,"withdrawal_by_parent",219,0.2076
"AS","Oregon",1055,8,"attempts_to_contact_unsuccessful",56,0.0531
"AS","Oregon",1055,8,"moved_out_of_state",136,0.1289
"AS","Oregon",1055,8,"part_b_eligible_exiting_part_c",545,0.5166
"AS","Oregon",1055,8,"complete_or_not_eligible",89,0.0844
"BL","Oregon",731,2,"withdrawal_by_parent",123,0.1683
"BL","Oregon",731,2,"attempts_to_contact_unsuccessful",72,0.0985
"BL","Oregon",731,2,"moved_out_of_state",56,0.0766
"BL","Oregon",731,2,"part_b_eligible_exiting_part_c",425,0.5814
"BL","Oregon",731,2,"complete_or_not_eligible",50,0.0684
"HI","Oregon",6997,78,"withdrawal_by_parent",907,0.1296
"HI","Oregon",6997,78,"attempts_to_contact_unsuccessful",697,0.0996
"HI","Oregon",6997,78,"moved_out_of_state",281,0.0402
"HI","Oregon",6997,78,"part_b_eligible_exiting_part_c",4302,0.6148
"HI","Oregon",6997,78,"complete_or_not_eligible",723,0.1033
"MU","Oregon",1432,13,"withdrawal_by_parent",263,0.1837
"MU","Oregon",1432,13,"attempts_to_contact_unsuccessful",84,0.0587
"MU","Oregon",1432,13,"moved_out_of_state",90,0.0628
"MU","Oregon",1432,13,"part_b_eligible_exiting_part_c",836,0.5838
"MU","Oregon",1432,13,"complete_or_not_eligible",142,0.0992
"PI","Oregon",125,2,"withdrawal_by_parent",20,0.16
"PI","Oregon",125,2,"attempts_to_contact_unsuccessful",13,0.104
"PI","Oregon",125,2,"moved_out_of_state",8,0.064
"PI","Oregon",125,2,"part_b_eligible_exiting_part_c",75,0.6
"PI","Oregon",125,2,"complete_or_not_eligible",6,0.048
"WH","Oregon",19338,165,"withdrawal_by_parent",3219,0.1665
"WH","Oregon",19338,165,"attempts_to_contact_unsuccessful",1552,0.0803
"WH","Oregon",19338,165,"moved_out_of_state",1063,0.055
"WH","Oregon",19338,165,"part_b_eligible_exiting_part_c",10797,0.5583
"WH","Oregon",19338,165,"complete_or_not_eligible",2487,0.1286
